product_name,supplier_name,unit_price,currency,sku,description
Dell Office Chair,Office Essentials Inc,18.44,USD,,Premium Office Chair with advanced features
Gamepad USB-C,Mega Electronics,264.84,USD,PROD-1970-A,
OEM USB Flash Drive Standard,BulkBuy Electronics,228.59,EUR,ITEM-9700-X,Reliable USB Flash Drive for business and home
LG USB Mouse Standard,Direct Import Co,217.76,USD,SKU-2747-PRO,Affordable USB Mouse with great performance
Lenovo Gamepad Bluetooth,Global Electronics Co,216.52,EUR,CAT-6601-X,Latest model Gamepad with warranty
Dell Gaming Monitor USB-C,Mega Electronics,190.28,USD,CAT-4147-PRO,Affordable Gaming Monitor with great performance
Acer Gaming Keyboard Elite,Digital Solutions,223.77,USD,ITEM-1578-B,Latest model Gaming Keyboard with warranty
Samsung USB-C Cable,BulkBuy Electronics,257.36,EUR,,Latest model USB-C Cable with warranty
Lenovo Monitor Privacy Screen Wireless,Asia Imports Ltd,126.96,USD,CAT-8194-B,
HP Cable Management Wired,Smart Supply Chain,19.32,USD,PROD-6808-B,Affordable Cable Management with great performance
Logitech Powerline Adapter USB-C,Smart Supply Chain,199.79,USD,ITEM-1510-PRO,High-quality Powerline Adapter for professional use
Microsoft External HDD Premium,BulkBuy Electronics,137.16,USD,SKU-4339-X,Professional-grade External HDD
Microsoft 32-inch Monitor Elite,Digital Solutions,61.47,USD,CAT-2654-A,High-quality 32-inch Monitor for professional use
Samsung Monitor Arm Wireless,Direct Import Co,68.04,EUR,,Reliable Monitor Arm for business and home
Generic Card Reader Plus,Wholesale Tech,259.75,USD,PROD-7257,Professional-grade Card Reader
Presentation Clicker Elite,Global Electronics Co,146.01,USD,PROD-4592-B,High-quality Presentation Clicker for professional use
Lenovo Graphics Tablet Wireless,Smart Supply Chain,275.06,USD,CAT-6506-B,
OEM Wi-Fi Router 2.4GHz,Global Electronics Co,72.79,USD,ITEM-5482-PRO,Latest model Wi-Fi Router with warranty
Samsung Numeric Keypad Premium,Tech Warehouse,18.66,USD,SKU-4428-B,Professional-grade Numeric Keypad
HP Drawing Pad Plus,Premium Tech Distributors,211.10,USD,ITEM-8938-X,Affordable Drawing Pad with great performance
HP Wireless Charger,Wholesale Tech,49.52,USD,ITEM-9632-X,Reliable Wireless Charger for business and home
Microsoft Office Chair Basic,Tech Warehouse,286.99,USD,PROD-6369-PRO,Premium Office Chair with advanced features
Logitech Network Switch Standard,Wholesale Tech,246.39,USD,ITEM-9596-B,
Acer Power Strip Wireless,Office Essentials Inc,153.79,EUR,ITEM-2468-X,Affordable Power Strip with great performance
Generic Bookshelf USB-C,Premium Tech Distributors,184.92,EUR,ITEM-4959-B,
Samsung 27-inch Monitor Plus,Premium Tech Distributors,274.02,EUR,SKU-7081-PRO,Affordable 27-inch Monitor with great performance
HP Graphics Tablet Bluetooth,Mega Electronics,204.34,USD,SKU-2399,Professional-grade Graphics Tablet
Dell Network Switch Plus,BulkBuy Electronics,81.42,EUR,CAT-2319-B,Premium Network Switch with advanced features
HP Desk Organizer,BulkBuy Electronics,71.57,USD,,Latest model Desk Organizer with warranty
Generic Micro USB Cable 2.4GHz,Digital Solutions,170.79,EUR,CAT-9577-A,High-quality Micro USB Cable for professional use
OEM Notebook RGB,Smart Supply Chain,270.09,EUR,PROD-8388,Affordable Notebook with great performance
Generic Ergonomic Keyboard RGB,Global Electronics Co,14.27,USD,ITEM-9335-A,High-quality Ergonomic Keyboard for professional use
Steering Wheel USB-C,Mega Electronics,193.14,USD,ITEM-6051-X,Professional-grade Steering Wheel
Acer 32-inch Monitor Wired,BulkBuy Electronics,120.99,USD,PROD-5367-X,Premium 32-inch Monitor with advanced features
Microsoft HDMI Cable Basic,TechPro Supplies,135.04,USD,SKU-3687-PRO,High-quality HDMI Cable for professional use
Logitech Monitor Arm,Tech Warehouse,264.46,USD,ITEM-9946-A,Affordable Monitor Arm with great performance
Lenovo Drawing Pad Wired,Wholesale Tech,290.58,USD,SKU-1725-PRO,Premium Drawing Pad with advanced features
Lenovo Desk Organizer 2.4GHz,Wholesale Tech,85.74,USD,CAT-6863-A,Professional-grade Desk Organizer
Lenovo HDMI Cable Basic,Global Electronics Co,79.79,USD,ITEM-2589-A,Professional-grade HDMI Cable
Lenovo Lightning Cable RGB,Direct Import Co,53.41,USD,PROD-1509-X,Premium Lightning Cable with advanced features
Dell Card Reader,Tech Warehouse,23.14,EUR,SKU-4018-X,Professional-grade Card Reader
Generic Monitor Riser Bluetooth,Smart Supply Chain,261.44,EUR,ITEM-6789-X,Professional-grade Monitor Riser
OEM 24-inch Monitor Plus,Wholesale Tech,106.11,USD,SKU-7353-B,High-quality 24-inch Monitor for professional use
Lenovo MicroSD Card Plus,Asia Imports Ltd,237.87,EUR,CAT-6221,Latest model MicroSD Card with warranty
Acer Card Reader Wired,Office Essentials Inc,95.08,EUR,CAT-5404,
Microsoft Docking Station RGB,Premium Tech Distributors,177.03,USD,PROD-3341,Professional-grade Docking Station
Generic 24-inch Monitor Bluetooth,Wholesale Tech,113.76,USD,PROD-2654-X,High-quality 24-inch Monitor for professional use
Drawing Pad 2.4GHz,Digital Solutions,126.51,USD,SKU-5406-A,Latest model Drawing Pad with warranty
Dell Steering Wheel Wired,Tech Warehouse,36.09,USD,SKU-9048-PRO,
Acer Ethernet Cable Wireless,Office Essentials Inc,283.58,EUR,ITEM-9749-B,
Logitech Pen Set Bluetooth,Global Electronics Co,208.34,EUR,PROD-6540,Professional-grade Pen Set
Acer USB Mouse Elite,Asia Imports Ltd,57.12,USD,ITEM-9583-A,Professional-grade USB Mouse
Microsoft HDMI to DisplayPort USB-C,BulkBuy Electronics,183.10,USD,ITEM-5838-X,High-quality HDMI to DisplayPort for professional use
Acer Wi-Fi Extender Premium,Global Electronics Co,219.32,USD,CAT-3484-X,Premium Wi-Fi Extender with advanced features
HP Filing Cabinet 2.4GHz,Digital Solutions,24.25,USD,CAT-4479-B,Latest model Filing Cabinet with warranty
HP Bookshelf Bluetooth,Smart Supply Chain,113.34,USD,,Latest model Bookshelf with warranty
Logitech Tablet Stand Standard,Asia Imports Ltd,53.67,USD,,Latest model Tablet Stand with warranty
Acer Cable Management Wired,Premium Tech Distributors,178.45,EUR,ITEM-3003-A,Professional-grade Cable Management
Generic Network Switch RGB,Office Essentials Inc,69.07,USD,PROD-9477-A,High-quality Network Switch for professional use
LG Pen Set Basic,Premium Tech Distributors,208.48,EUR,ITEM-4845-X,Premium Pen Set with advanced features
